CodigoGrupo;CodigoAula
AMD.L.1;L-02
AMD.L.2;L-11
AMD.L.3;L-02
AMD.L.4;L-11
AMD.L.5;L-03
AMD.L.6;L-05
AMD.L.7;L-11
AMD.L.8;L-11
AMD.L.I-1;L-11
AMD.L.I-2;L-11
AMD.L.I-3;L-11
AMD.L.I-4;L-03
AMD.S.1;A-S-02
AMD.S.2;A-S-01
AMD.S.3;A-B-02
AMD.S.4;A-B-02
AMD.S.I-1;A-B-01
AMD.S.I-2;A-2-02
AMD.T.1;A-S-01
AMD.T.2;A-S-02
AMD.T.I-1;
Est.L.1;L-03
Est.L.2;L-03
Est.L.3;L-03
Est.L.4;L-03
Est.L.5;L-03
Est.L.6;L-03
Est.L.7;L-03
Est.L.8;L-03
Est.L.9;L-03
Est.L.I-1;L-03
Est.L.I-2;L-03
Est.L.I-3;L-S-02
Est.L.I-4;L-03
Est.S.1;A-S-02
Est.S.2;A-S-01
Est.S.3;A-2-01
Est.S.I-1;A-B-01
Est.S.I-2;
Est.T.1;A-S-01
Est.T.2;A-S-02
Est.T.I-1;A-S-01
FCR.L.1;L-04
FCR.L.2;L-04
FCR.L.3;L-04
FCR.L.4;L-04
FCR.L.5;L-04
FCR.L.6;L-04
FCR.L.7;L-04
FCR.L.8;L-04
FCR.L.9;L-S-01
FCR.L.I-1;L-13
FCR.L.I-2;L-S-01
FCR.L.I-3;L-S-02
FCR.L.I-4;L-S-02
FCR.S.1;A-2-01
FCR.S.2;A-S-01
FCR.S.3;A-2-01
FCR.S.4;A-B-02
FCR.S.I-1;A-B-01
FCR.S.I-2;A-2-01
FCR.T.1;A-S-01
FCR.T.2;A-S-02
FCR.T.I-1;A-2-02
MP.L.1;L-31
MP.L.2;L-31
MP.L.3;L-31
MP.L.4;L-31
MP.L.5;L-31
MP.L.6;L-31
MP.L.7;L-31
MP.L.8;L-15
MP.L.9;L-15
MP.L.I-1;L-15
MP.L.I-2;L-02
MP.L.I-3;L-02
MP.L.I-4;L-31
MP.L.I-5;L-S-01
MP.S.1;A-2-01
MP.S.2;A-S-01
MP.S.3;A-2-01
MP.S.I-1;A-B-01
MP.S.I-2;A-2-01
MP.T.1;A-2-02
MP.T.2;A-S-02
MP.T.I-1;A-S-01
OyE.L.1;L-12
OyE.L.10;L-12
OyE.L.2;L-12
OyE.L.3;L-12
OyE.L.4;L-12
OyE.L.5;L-12
OyE.L.6;L-12
OyE.L.7;L-12
OyE.L.8;L-12
OyE.L.9;L-12
OyE.L.I-1;L-12
OyE.L.I-2;L-12
OyE.L.I-3;L-12
OyE.L.I-4;L-12
OyE.L.I-5;L-12
OyE.S.1;A-S-02
OyE.S.2;A-S-01
OyE.S.3;A-B-02
OyE.S.4;A-B-02
OyE.S.I-1;A-B-01
OyE.S.I-2;A-2-02
OyE.T.1;A-S-01
OyE.T.2;A-S-02
OyE.T.I-1;A-S-01
Alg.L.1;L-13
Alg.L.2;L-01
Alg.L.3;L-04
Alg.L.4;L-S-01
Alg.L.5;L-13
Alg.L.6;L-13
Alg.L.7;L-04
Alg.L.I-1;L-31
Alg.L.I-2;L-31
Alg.L.I-3;L-31
Alg.L.I-4;L-31
Alg.S.1;A-B-02
Alg.S.2;A-B-01
Alg.S.3;A-S-02
Alg.S.I-1;A-B-02
Alg.S.I-2;A-B-02
Alg.T.1;A-B-01
Alg.T.2;A-B-01
Alg.T.I-1;A-B-02
BD.L.1;L-05
BD.L.2;L-04
BD.L.3;L-04
BD.L.4;L-05
BD.L.5;L-04
BD.L.6;L-11
BD.L.7;L-04
BD.L.I-1;L-03
BD.L.I-2;L-03
BD.L.I-3;L-03
BD.L.I-4;L-03
BD.S.1;A-B-02
BD.S.2;A-B-01
BD.S.3;A-S-02
BD.S.I-1;A-B-02
BD.S.I-2;A-B-01
BD.T.1;A-S-01
BD.T.2;A-S-02
BD.T.I-1;A-S-02
CN.L.1;L-01
CN.L.2;L-01
CN.L.3;L-01
CN.L.4;L-01
CN.L.5;L-01
CN.L.6;L-01
CN.L.I-1;L-01
CN.L.I-2;L-13
CN.L.I-3;L-16
CN.L.I-4;L-01
CN.S.1;A-B-02
CN.S.2;A-B-01
CN.S.3;A-S-02
CN.S.I-1;A-S-01
CN.S.I-2;A-B-01
CN.T.1;A-B-01
CN.T.2;A-B-01
CN.T.I-1;A-B-02
SO.L.1;L-S-02
SO.L.2;L-S-02
SO.L.3;L-S-02
SO.L.4;L-S-02
SO.L.5;L-S-02
SO.L.6;L-S-02
SO.L.7;L-S-02
SO.L.I-1;L-12
SO.L.I-2;L-04
SO.L.I-3;L-S-02
SO.L.I-4;L-04
SO.S.1;A-B-02
SO.S.2;A-B-01
SO.S.3;A-S-02
SO.S.I-1;A-B-02
SO.S.I-2;A-B-01
SO.T.1;A-S-01
SO.T.2;A-S-02
SO.T.I-1;A-B-02
TPP.L.1;L-02
