#### START EXECUTION ####
GenNumber;BestFitness;AvgFitness;CurrentTimeInSeconds
1;133,46;116,84;17,18
2;133,76;120,62;18,28
3;133,76;123,56;19,20
4;133,76;125,85;20,17
5;133,76;127,51;21,22
6;134,05;128,84;22,13
7;134,35;130,29;23,02
8;134,35;131,41;23,92
9;134,35;132,31;24,89
10;134,35;132,76;25,79
11;134,35;133,22;26,79
12;134,35;133,40;27,72
13;134,64;133,57;28,70
14;134,64;133,72;29,62
15;134,64;133,81;30,50
16;134,64;133,92;31,38
17;134,64;134,00;32,25
18;134,64;134,09;33,10
19;134,64;134,16;33,96
20;134,64;134,23;34,79
21;134,64;134,29;35,64
22;134,64;134,35;36,49
23;134,64;134,40;37,33
24;134,64;134,44;38,17
25;134,64;134,48;39,02
26;134,64;134,53;39,86
27;134,64;134,56;40,73
28;134,64;134,59;41,56
29;134,64;134,60;42,40
30;134,64;134,62;43,24
31;134,64;134,62;44,09
32;134,64;134,63;44,92
33;134,64;134,63;45,76
34;134,64;134,63;46,60
35;134,64;134,64;47,43
36;134,64;134,64;48,28
37;134,64;134,64;49,13
38;134,64;134,64;49,95
39;134,64;134,64;50,80
40;134,64;134,64;51,61
41;134,64;134,64;52,46
42;134,64;134,64;53,30
43;134,64;134,64;54,15
44;134,64;134,64;54,99
45;134,64;134,64;55,80
46;134,64;134,64;56,66
47;134,64;134,64;57,48
48;134,64;134,64;58,38
49;134,64;134,64;59,28
50;134,64;134,64;60,12

Summary for best individual
===========================

Out of the 340 assignments, there are 5 assignments without classroom.

Of the 18 preferences, 13 are satisfied.
##### END EXECUTION #####
