TipoGrupo;NombreGrupo;AL;Cal;Emp;FI;IP;AC;Com;CPM;ED;TEC;DS;IPS;RI;SEW;CVVS;IR;SI;IA;IFA;IAE;RAA;SIW;SEV;SDM;SR
T;1;72;86;56;56;57;51;49;58;63;50;100;62;58;69;75;83;83;26;37;17;30;13;81;56;67
T;2;63;81;48;52;48;56;51;60;70;50;98;59;58;70;75;77;81;;;;;;;;
T;I-1;69;57;55;52;56;47;44;54;49;45;;;45;;;;;;;;;;;;
S;1;48;46;36;;39;34;33;38;45;33;50;36;38;36;36;46;48;26;37;17;30;13;41;56;35
S;2;48;45;37;;36;37;34;40;45;33;49;38;39;34;38;43;45;;;;;;40;;32
S;3;39;38;31;;30;35;33;40;43;32;49;47;39;36;38;40;37;;;;;;;;
S;4;;38;;;;;;;;;50;;;33;38;31;34;;;;;;;;
S;I-1;35;28;28;;27;24;23;27;25;24;;;23;;;;;;;;;;;;
S;I-2;34;29;27;;29;23;21;27;24;20;;;22;;;;;;;;;;;;
L;1;16;16;;15;14;16;15;15;16;14;16;15;14;13;14;16;21;12;;11;17;13;18;21;14
L;2;13;14;;17;10;15;13;15;17;14;19;15;15;14;16;20;19;14;12;6;13;;16;13;11
L;3;16;16;;15;13;14;15;14;18;15;18;16;16;14;19;19;20;;13;;;;18;8;14
L;4;15;16;;17;14;14;13;15;18;15;18;15;15;15;17;19;19;;;;;;16;;11
L;5;16;17;;14;13;16;14;16;16;14;19;15;15;15;18;17;18;;;;;;13;;
L;6;14;14;;17;15;16;16;14;15;15;19;15;14;12;15;19;16;;;;;;;;
L;7;16;15;;13;15;16;14;14;16;13;18;13;13;15;18;16;17;;;;;;;;
L;8;12;13;;;11;;;15;17;;17;17;14;14;18;16;19;;;;;;;;
L;9;17;16;;;;;;;;;18;;;13;15;18;15;;;;;;;;
L;10;;15;;;;;;;;;19;;;14;;;;;;;;;;;
L;11;;15;;;;;;;;;17;;;;;;;;;;;;;;
L;12;;;;;;;;;;;;;;;;;;;;;;;;;
L;I-1;14;11;;12;15;12;10;14;12;11;;;10;;;;;;;;;;;;
L;I-2;14;11;;12;12;12;10;12;12;11;;;11;;;;;;;;;;;;
L;I-3;14;11;;14;15;11;12;14;12;11;;;12;;;;;;;;;;;;
L;I-4;14;12;;14;14;12;12;14;13;12;;;;;;;;;;;;;;;
L;I-5;13;12;;;;;;;;;;;;;;;;;;;;;;;
