TipoGrupo;NombreGrupo;AMD;Est;FCR;MP;OyE;Alg;BD;CN;SO;TPP;ASR;ASW;DLP;SSI;SDI;ASLEPI;DPPI
T;1;56;60;64;61;62;58;61;49;64;57;50;82;61;75;70;56;56
T;2;57;59;64;61;62;58;61;50;63;57;50;;61;;70;56;57
T;I-1;53;64;65;67;62;50;54;42;49;47;;33;43;34;;;
S;1;28;46;31;47;31;39;41;33;42;38;35;27;32;37;33;37;38
S;2;28;36;33;38;33;38;40;33;43;38;33;28;30;38;33;37;38
S;3;29;36;32;38;30;39;41;33;42;38;32;27;30;;33;38;37
S;4;28;;32;;30;;;;;;;;30;;41;;
S;I-1;27;32;32;33;31;25;27;22;25;23;;33;27;16;;;
S;I-2;26;32;33;34;31;25;27;20;24;24;;;16;18;;;
L;1;13;13;14;13;11;16;17;17;18;16;16;14;13;11;13;16;16
L;2;13;14;14;14;13;17;17;20;18;17;15;14;14;12;14;16;16
L;3;13;13;13;13;11;17;17;15;19;15;14;13;13;13;16;16;16
L;4;14;14;14;14;13;17;17;15;18;17;12;14;14;12;14;15;16
L;5;15;14;15;14;12;16;18;16;18;17;15;13;13;14;13;16;17
L;6;14;13;15;15;14;16;19;16;18;16;13;14;13;13;16;17;15
L;7;13;13;15;13;12;17;17;;18;16;14;;13;;13;16;17
L;8;18;14;14;14;13;;;;;;;;14;;14;;
L;9;;11;13;13;12;;;;;;;;14;;14;;
L;10;;;;;12;;;;;;;;;;13;;
L;11;;;;;;;;;;;;;;;;;
L;12;;;;;;;;;;;;;;;;;
L;I-1;13;16;16;15;14;14;13;11;12;12;;11;9;11;;;
L;I-2;13;15;15;12;14;12;14;11;13;12;;11;11;11;;;
L;I-3;14;17;17;14;13;12;14;10;12;11;;11;11;12;;;
L;I-4;13;16;17;13;12;12;13;10;12;12;;;12;;;;
L;I-5;;;;13;9;;;;;;;;;;;;
