CodigoGrupo;SemanasLectivas
AC.L.1;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
AC.L.2;S38,S40,S41,S43,S44,S46,S47,S48,S49,S51
AC.L.3;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S51
AC.L.4;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S51
AC.L.5;S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S49,S50
AC.L.6;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
AC.L.7;S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
AC.L.I-1;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
AC.L.I-2;S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
AC.L.I-3;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S51
AC.L.I-4;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
AC.S.1;S37,S39,S41,S43,S45,S47,S50
AC.S.2;S37,S39,S41,S43,S45,S47,S50
AC.S.3;S37,S39,S41,S43,S45,S47,S50
AC.S.I-1;S37,S39,S41,S43,S45,S47,S50
AC.S.I-2;S37,S39,S41,S43,S45,S47,S50
AC.T.1;S38,S40,S41,S43,S44,S46,S47,S48,S49,S51
AC.T.2;S38,S40,S41,S43,S44,S46,S47,S48,S49,S51
AC.T.I-1;S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
AL.L.1;S39,S41,S43,S45,S47,S49
AL.L.2;S38,S40,S42,S46,S48,S50
AL.L.3;S38,S40,S42,S46,S48,S50
AL.L.4;S39,S41,S43,S45,S47,S49
AL.L.5;S37,S39,S41,S45,S47,S49
AL.L.6;S38,S40,S42,S44,S48,S51
AL.L.7;S38,S40,S42,S46,S49,S50
AL.L.8;S39,S41,S43,S45,S47,S49
AL.L.9;S38,S40,S42,S46,S48,S50
AL.L.I-1;S37,S39,S41,S43,S45,S47
AL.L.I-2;S38,S40,S42,S44,S46,S50
AL.L.I-3;S39,S41,S43,S45,S47,S49
AL.L.I-4;S38,S40,S42,S44,S46,S48
AL.L.I-5;S37,S39,S41,S43,S45,S47
AL.S.1;S38,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51
AL.S.2;S38,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51
AL.S.3;S38,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51
