CodigoGrupo;Dia;HoraInicio;HoraFin
AMD.L.1;X;09.00;10.00
AMD.L.2;J;12.00;13.00
AMD.L.3;X;10.00;11.00
AMD.L.4;J;13.00;14.00
AMD.L.5;V;09.00;10.00
AMD.L.6;V;12.00;13.00
AMD.L.7;M;10.00;11.00
AMD.L.8;V;13.00;14.00
AMD.L.I-1;X;12.00;13.00
AMD.L.I-2;X;13.00;14.00
AMD.L.I-3;M;12.00;13.00
AMD.L.I-4;M;13.00;14.00
AMD.S.1;L;12.00;13.00
AMD.S.2;L;13.00;14.00
AMD.S.3;L;10.00;11.00
AMD.S.4;L;09.00;10.00
AMD.S.I-1;L;12.00;13.00
AMD.S.I-2;L;13.00;14.00
AMD.T.1;M;13.00;14.00
AMD.T.1;X;12.00;13.00
AMD.T.2;M;11.00;12.00
AMD.T.2;X;10.00;11.00
AMD.T.I-1;V;11.00;12.00
AMD.T.I-1;X;11.00;12.00
ASLEPI.L.1;L;18.00;20.00
ASLEPI.L.2;L;16.00;18.00
ASLEPI.L.3;J;16.00;18.00
ASLEPI.L.4;J;18.00;20.00
ASLEPI.L.5;M;16.00;18.00
ASLEPI.L.5;L;16.00;18.00
ASLEPI.L.6;M;18.00;20.00
ASLEPI.L.7;V;18.00;20.00
ASLEPI.S.1;M;17.00;18.00
ASLEPI.S.2;M;18.00;19.00
ASLEPI.S.3;X;17.00;18.00
ASLEPI.T.1;X;15.00;17.00
ASLEPI.T.1;X;15.00;16.00
ASLEPI.T.2;X;18.00;20.00
ASLEPI.T.2;X;18.00;19.00
ASR.L.1;V;09.00;11.00
ASR.L.1;J;16.00;18.00
ASR.L.2;X;12.00;14.00
ASR.L.2;X;18.00;20.00
ASR.L.3;J;09.00;11.00
ASR.L.3;X;17.00;19.00
ASR.L.4;J;12.00;14.00
ASR.L.4;J;16.00;18.00
ASR.L.5;X;09.00;11.00
ASR.L.5;M;16.00;18.00
ASR.L.6;L;11.00;13.00
ASR.L.6;J;18.00;20.00
ASR.L.7;L;09.00;11.00
ASR.L.7;M;16.00;18.00
ASR.S.1;V;11.00;12.00
ASR.S.2;V;13.00;14.00
ASR.S.3;V;12.00;13.00
ASR.T.1;J;11.00;13.00
ASR.T.1;J;11.00;12.00
ASR.T.2;J;09.00;11.00
ASR.T.2;J;09.00;10.00
ASW.L.1;M;09.00;11.00
ASW.L.2;L;13.00;15.00
ASW.L.3;L;09.00;11.00
ASW.L.4;M;13.00;15.00
ASW.L.5;J;09.00;11.00
ASW.L.6;V;09.00;11.00
ASW.L.I-1;M;11.00;13.00
ASW.L.I-2;L;11.00;13.00
ASW.L.I-3;J;12.00;14.00
ASW.S.1;V;12.00;13.00
ASW.S.2;V;11.00;12.00
ASW.S.3;V;14.00;15.00
ASW.S.I-1;V;13.00;14.00
ASW.T.1;X;11.00;13.00
ASW.T.1;X;11.00;12.00
ASW.T.I-1;X;09.00;11.00
ASW.T.I-1;X;09.00;10.00
Alg.L.1;M;15.00;17.00
Alg.L.2;X;18.00;20.00
Alg.L.3;X;15.00;17.00
Alg.L.4;M;18.00;20.00
Alg.L.5;J;15.00;17.00
Alg.L.6;J;18.00;20.00
Alg.L.7;V;15.00;17.00
Alg.L.I-1;J;18.00;20.00
Alg.L.I-2;X;18.00;20.00
Alg.L.I-3;M;18.00;20.00
Alg.L.I-4;X;15.00;17.00
Alg.S.1;V;17.00;18.00
Alg.S.2;V;18.00;19.00
Alg.S.3;V;19.00;20.00
Alg.S.I-1;V;15.00;16.00
Alg.S.I-2;V;14.00;15.00
Alg.T.1;M;18.00;20.00
Alg.T.1;M;18.00;19.00
Alg.T.2;M;15.00;17.00
Alg.T.2;M;15.00;16.00
Alg.T.I-1;J;16.00;18.00
Alg.T.I-1;J;16.00;17.00
BD.L.1;V;15.00;17.00
BD.L.2;J;18.00;20.00
BD.L.3;X;18.00;20.00
BD.L.4;X;15.00;17.00
BD.L.5;L;15.00;17.00
BD.L.6;M;18.00;20.00
BD.L.7;M;15.00;17.00
BD.L.I-1;X;15.00;17.00
BD.L.I-2;J;18.00;20.00
BD.L.I-3;L;18.00;20.00
BD.L.I-4;X;18.00;20.00
BD.S.1;V;18.00;19.00
BD.S.2;V;19.00;20.00
BD.S.3;V;17.00;18.00
BD.S.I-1;V;16.00;17.00
BD.S.I-2;V;15.00;16.00
BD.T.1;J;17.00;18.00
BD.T.1;M;17.00;18.00
BD.T.2;L;17.00;18.00
BD.T.2;X;17.00;18.00
BD.T.I-1;J;15.00;16.00
BD.T.I-1;M;15.00;16.00
CN.L.1;J;15.00;17.00
CN.L.1;J;15.00;16.00
CN.L.2;X;15.00;17.00
CN.L.2;X;15.00;16.00
CN.L.3;L;15.00;17.00
CN.L.3;L;15.00;16.00
CN.L.4;V;15.00;17.00
CN.L.4;V;15.00;16.00
CN.L.5;M;15.00;17.00
CN.L.5;M;15.00;16.00
CN.L.6;L;18.00;20.00
CN.L.6;L;18.00;19.00
CN.L.I-1;M;18.00;20.00
CN.L.I-1;M;18.00;19.00
CN.L.I-2;L;18.00;20.00
CN.L.I-2;L;18.00;19.00
CN.L.I-3;X;15.00;17.00
CN.L.I-3;X;15.00;16.00
CN.L.I-4;J;18.00;20.00
CN.L.I-4;J;18.00;19.00
CN.S.1;V;19.00;20.00
CN.S.2;V;17.00;18.00
CN.S.3;V;18.00;19.00
CN.S.I-1;V;17.00;18.00
CN.S.I-2;V;16.00;17.00
CN.T.1;L;17.00;18.00
CN.T.1;X;17.00;18.00
CN.T.1;X;11.00;12.00
CN.T.2;J;17.00;18.00
CN.T.2;M;17.00;18.00
CN.T.2;J;11.00;12.00
CN.T.I-1;L;17.00;18.00
CN.T.I-1;X;17.00;18.00
DLP.L.1;J;09.00;11.00
DLP.L.2;V;09.00;11.00
DLP.L.3;X;09.00;11.00
DLP.L.4;L;13.00;15.00
DLP.L.5;L;09.00;11.00
DLP.L.6;J;12.00;14.00
DLP.L.7;M;09.00;11.00
DLP.L.8;M;13.00;15.00
DLP.L.9;L;11.00;13.00
DLP.L.I-1;X;12.00;14.00
DLP.L.I-2;M;11.00;13.00
DLP.L.I-3;L;11.00;13.00
DLP.L.I-4;M;13.00;15.00
DLP.S.1;V;12.00;13.00
DLP.S.2;V;11.00;12.00
DLP.S.3;V;13.00;14.00
DLP.S.4;V;14.00;15.00
DLP.S.I-1;V;13.00;14.00
DLP.S.I-1;M;10.00;11.00
DLP.S.I-2;V;12.00;13.00
DLP.S.I-2;M;10.00;11.00
DLP.T.1;M;11.00;13.00
DLP.T.1;M;11.00;12.00
DLP.T.2;M;09.00;11.00
DLP.T.2;M;09.00;10.00
DLP.T.I-1;M;09.00;11.00
DLP.T.I-1;M;09.00;10.00
DPPI.L.1;L;16.00;18.00
DPPI.L.2;L;18.00;20.00
DPPI.L.3;M;16.00;18.00
DPPI.L.4;M;18.00;20.00
DPPI.L.5;J;16.00;18.00
DPPI.L.6;J;18.00;20.00
DPPI.L.7;V;16.00;18.00
DPPI.S.1;M;17.00;18.00
DPPI.S.2;M;18.00;19.00
DPPI.S.3;X;17.00;18.00
DPPI.T.1;X;18.00;20.00
DPPI.T.1;X;18.00;19.00
DPPI.T.2;X;15.00;17.00
DPPI.T.2;X;15.00;16.00
Est.L.1;X;10.00;11.00
Est.L.2;J;13.00;14.00
Est.L.3;X;09.00;10.00
Est.L.4;J;12.00;13.00
Est.L.5;V;10.00;11.00
Est.L.6;V;13.00;14.00
Est.L.7;M;09.00;10.00
Est.L.8;V;12.00;13.00
Est.L.9;M;10.00;11.00
Est.L.I-1;X;13.00;14.00
Est.L.I-2;X;12.00;13.00
Est.L.I-3;M;13.00;14.00
Est.L.I-4;M;12.00;13.00
Est.S.1;L;11.00;12.00
Est.S.2;L;12.00;13.00
Est.S.3;L;13.00;14.00
Est.S.I-1;L;13.00;14.00
Est.S.I-2;L;12.00;13.00
Est.T.1;V;11.00;12.00
Est.T.1;M;12.00;13.00
Est.T.2;V;10.00;11.00
Est.T.2;M;10.00;11.00
Est.T.I-1;V;10.00;11.00
Est.T.I-1;M;09.00;10.00
FCR.L.1;J;09.00;11.00
FCR.L.2;V;12.00;14.00
FCR.L.3;M;09.00;11.00
FCR.L.4;X;12.00;14.00
FCR.L.5;X;09.00;11.00
FCR.L.6;J;12.00;14.00
FCR.L.7;V;09.00;11.00
FCR.L.8;M;12.00;14.00
FCR.L.9;X;09.00;11.00
FCR.L.I-1;V;12.00;14.00
