Codigo;CodigoAsignatura;NEstudiantes;Tipo(L/T);Idioma(EN/ES)
AC.L.1;AC;16;L;ES
AC.L.2;AC;15;L;ES
AC.L.3;AC;14;L;ES
AC.L.4;AC;14;L;ES
AC.L.5;AC;16;L;ES
AC.L.6;AC;16;L;ES
AC.L.7;AC;16;L;ES
AC.L.I-1;AC;12;L;EN
AC.L.I-2;AC;12;L;EN
AC.L.I-3;AC;11;L;EN
AC.L.I-4;AC;12;L;EN
AC.S.1;AC;34;T;ES
AC.S.2;AC;37;T;ES
AC.S.3;AC;35;T;ES
AC.S.I-1;AC;24;T;EN
AC.S.I-2;AC;23;T;EN
AC.T.1;AC;51;T;ES
AC.T.2;AC;56;T;ES
AC.T.I-1;AC;47;T;EN
AL.L.1;AL;16;L;ES
AL.L.2;AL;13;L;ES
AL.L.3;AL;16;L;ES
AL.L.4;AL;15;L;ES
AL.L.5;AL;16;L;ES
AL.L.6;AL;14;L;ES
AL.L.7;AL;16;L;ES
AL.L.8;AL;12;L;ES
AL.L.9;AL;17;L;ES
AL.L.I-1;AL;14;L;EN
AL.L.I-2;AL;14;L;EN
AL.L.I-3;AL;14;L;EN
AL.L.I-4;AL;14;L;EN
AL.L.I-5;AL;13;L;EN
AL.S.1;AL;48;T;ES
AL.S.2;AL;48;T;ES
AL.S.3;AL;39;T;ES
AL.S.I-1;AL;35;T;EN
AL.S.I-2;AL;34;T;EN
AL.T.1;AL;72;T;ES
AL.T.2;AL;63;T;ES
AL.T.I-1;AL;69;T;EN
CPM.L.1;CPM;15;L;ES
CPM.L.2;CPM;15;L;ES
CPM.L.3;CPM;14;L;ES
CPM.L.4;CPM;15;L;ES
CPM.L.5;CPM;16;L;ES
CPM.L.6;CPM;14;L;ES
CPM.L.7;CPM;14;L;ES
CPM.L.8;CPM;15;L;ES
CPM.L.I-1;CPM;14;L;EN
CPM.L.I-2;CPM;12;L;EN
CPM.L.I-3;CPM;14;L;EN
CPM.L.I-4;CPM;14;L;EN
CPM.L.I-5;CPM;12;L;EN
CPM.S.1;CPM;38;T;ES
CPM.S.2;CPM;40;T;ES
CPM.S.3;CPM;40;T;ES
CPM.S.I-1;CPM;27;T;EN
CPM.S.I-2;CPM;27;T;EN
CPM.T.1;CPM;58;T;ES
CPM.T.2;CPM;60;T;ES
CPM.T.I-1;CPM;54;T;EN
CVVS.L.1;CVVS;14;L;ES
CVVS.L.2;CVVS;16;L;ES
CVVS.L.3;CVVS;19;L;ES
CVVS.L.4;CVVS;17;L;ES
CVVS.L.5;CVVS;18;L;ES
CVVS.L.6;CVVS;15;L;ES
CVVS.L.7;CVVS;18;L;ES
CVVS.L.8;CVVS;18;L;ES
CVVS.L.9;CVVS;15;L;ES
CVVS.S.1;CVVS;36;T;ES
CVVS.S.2;CVVS;38;T;ES
CVVS.S.3;CVVS;38;T;ES
CVVS.S.4;CVVS;38;T;ES
CVVS.T.1;CVVS;75;T;ES
CVVS.T.2;CVVS;75;T;ES
Cal.L.1;Cal;16;L;ES
Cal.L.10;Cal;15;L;ES
Cal.L.11;Cal;15;L;ES
Cal.L.2;Cal;14;L;ES
Cal.L.3;Cal;16;L;ES
Cal.L.4;Cal;16;L;ES
Cal.L.5;Cal;17;L;ES
Cal.L.6;Cal;14;L;ES
Cal.L.7;Cal;15;L;ES
Cal.L.8;Cal;13;L;ES
Cal.L.9;Cal;16;L;ES
Cal.L.I-1;Cal;11;L;EN
Cal.L.I-2;Cal;11;L;EN
Cal.L.I-3;Cal;11;L;EN
Cal.L.I-4;Cal;12;L;EN
Cal.L.I-5;Cal;12;L;EN
Cal.S.1;Cal;46;T;ES
Cal.S.2;Cal;45;T;ES
Cal.S.3;Cal;38;T;ES
Cal.S.4;Cal;38;T;ES
Cal.S.I-1;Cal;28;T;EN
Cal.S.I-2;Cal;29;T;EN
Cal.T.1;Cal;86;T;ES
Cal.T.2;Cal;81;T;ES
Cal.T.I-1;Cal;57;T;EN
Com.L.1;Com;15;L;ES
Com.L.2;Com;13;L;ES
Com.L.3;Com;15;L;ES
Com.L.4;Com;13;L;ES
Com.L.5;Com;14;L;ES
Com.L.6;Com;16;L;ES
Com.L.7;Com;14;L;ES
Com.L.I-1;Com;10;L;EN
Com.L.I-2;Com;10;L;EN
Com.L.I-3;Com;12;L;EN
Com.L.I-4;Com;12;L;EN
Com.S.1;Com;33;T;ES
Com.S.2;Com;34;T;ES
