CodigoGrupo;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34
AL.T.1;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.T.2;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.T.I-1;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.S.1;;;;S; ;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.S.2;;;;S; ;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.S.3;;;;S; ;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.S.I-1;;;;S; ;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.S.I-2;;;;S; ;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.1;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.2;;;;S;;S;;S;;;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.3;;;;S;;S;;S;;;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.4;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.5;;;S;;S;;S;;;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.6;;;;S;;S;;S;;S;;;;S;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.7;;;;S;;S;;S;;;;S;;;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.8;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.9;;;;S;;S;;S;;;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.I-1;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.I-2;;;;S;;S;;S;;S;;S;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.I-3;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.I-4;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL.L.I-5;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.T.1;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.T.2;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.T.I-1;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.S.1;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.S.2;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.S.3;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.S.4;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.S.I-1;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.S.I-2;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.1;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.2;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.3;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.4;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.5;;;;S;;S;;S;;S;;S;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.6;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.7;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.8;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.9;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.10;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.11;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.I-1;;;;S;;S;;S;;S;;S;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.I-2;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.I-3;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.I-4;;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.L.I-5;;;;S;;S;;S;;S;;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.T.1;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.T.2;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.T.I-1;;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.S.1;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.S.2;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.S.3;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.S.I-1;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emp.S.I-2;;;;S;;S;S;;S;S;;S;S;S;S;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
