CodigoGrupo;Sentido;CodigoAula
IFA.L.1;P;L-S-01
IFA.L.2;P;L-S-01
IFA.L.3;P;L-S-01
IFA.L.1;P;L-S-02
IFA.L.2;P;L-S-02
IFA.L.3;P;L-S-02
IFA.L.1;P;L-01
IFA.L.2;P;L-01
IFA.L.3;P;L-01
IFA.L.1;P;L-03
IFA.L.2;P;L-03
IFA.L.3;P;L-03
IFA.L.1;P;L-11
IFA.L.2;P;L-11
IFA.L.3;P;L-11
Cal.L.1;P;L-05
Cal.L.2;P;L-05
Cal.L.3;P;L-05
Cal.L.4;P;L-05
Cal.L.5;P;L-05
Cal.L.6;P;L-05
Cal.L.7;P;L-05
Cal.L.8;P;L-05
Cal.L.9;P;L-05
Cal.L.10;P;L-05
Cal.L.11;P;L-05
Com.L.1;P;L-05
Com.L.2;P;L-05
Com.L.3;P;L-05
Com.L.4;P;L-05
Com.L.5;P;L-05
Com.L.6;P;L-05
Com.L.7;P;L-05
